Year,estimate,Lower Upper,Estimator
2001,"7,828","7,253 8,403",Petersen
2002,"14,394","13,934 14,855",Petersen
2003,"12,958","12,274 13,642",Petersen
2004,"4,715","4,469 4,960",Petersen
2005,"4,585","3,860 5,309",Petersen
2006,"3,587","3,296 3,879",Petersen
2007,"5,523","5,273 5,774",Petersen
2008,"4,894","4,649 5,140",Petersen
2009,"4,427","4,238 4,615",Petersen
2010,"2,572","2,362 2,782",Petersen
2011,"4,880","4,551 5,209",Petersen
2012,"12,626","9,592 16,721",AUC
2013,"7 ,358","5,902 21,161",AUC
2014,"1 6,720","13,676 23,021",AUC
2015,"2 ,507","1,883 3,305",AUC
2016,7 46,590 962,HLVM
2017,"4 ,740","3,955 6,564",HLVM